formula,formula_with_coefficients,params_num,r2,adj_r2,std_err,max_err,f_stat,func_type,n_dims
z=(A+Bx+Cy+Dy^2)/(1+Ex+Fx^2+Gy),z=(-58379610+49671839x+45906227y-10370390y^2)/(1+1386902x-2191654x^2-69805y),7,0.3906,0.34423,11.202,23.0,8.424,simple,3
z=A+Bx+Cx^2+Dy+Ey^2,z=-820.41-2298.7x+5724.2x^2+875.79y-166.28y^2,5,0.3898,0.35735,11.089,23.304,12.01,simple,3
z=A+Bx+Cx^2+Dy+Ey^2,z=-820.41-2298.7x+5724.2x^2+875.79y-166.28y^2,5,0.3898,0.35735,11.089,23.304,12.01,simple,3
z=A+B/x+C/x^2+D/x^3+E/x^4+Fy,z=-7622.2+6779.6/x-2227/x^2+319.91/x^3-16.984/x^4+49.003y,6,0.38972,0.35035,11.149,25.387,9.8983,simple,3
z=A+B/x+C/x^2+D/x^3+E/x^4+Fy,z=-7622.2+6779.6/x-2227/x^2+319.91/x^3-16.984/x^4+49.003y,6,0.38972,0.35035,11.149,25.387,9.8983,simple,3
z=A+Bx+Clny+Dx^2+E(lny)^2+Fxlny,z=-643.92-1214x+1723.9lny+6370.4x^2-673.75(lny)^2-1536.9xlny,6,0.38874,0.3493,11.158,23.415,9.8573,simple,3
z=A+Bx+Clny+Dx^2+E(lny)^2+Fxlny,z=-643.92-1214x+1723.9lny+6370.4x^2-673.75(lny)^2-1536.9xlny,6,0.38874,0.3493,11.158,23.415,9.8573,simple,3
z=A+Bx+Cx^2+Dx^3+Ey,z=1410.6-18857x+80919x^2-112811x^3+48.616y,5,0.3874,0.35482,11.111,24.771,11.889,simple,3
z=A+Bx+Cx^2+Dx^3+Ey,z=1410.6-18857x+80919x^2-112811x^3+48.616y,5,0.3874,0.35482,11.111,24.771,11.889,simple,3
z=A+Bx+Cx^2+Dlny+E(lny)^2,z=-531.75-2257.5x+5629.9x^2+1763.3lny-903.63(lny)^2,5,0.38731,0.35472,11.112,23.329,11.884,simple,3
z=(A+Bx+Cy)/(1+Dx+Ey+Fy^2),z=(17.44-71.278x+2.0543y)/(1-0.84979x-0.59526y+0.1188y^2),6,0.38731,0.34778,11.171,23.235,9.7984,simple,3
z=A+Bx+Cx^2+Dlny+E(lny)^2,z=-531.75-2257.5x+5629.9x^2+1763.3lny-903.63(lny)^2,5,0.38731,0.35472,11.112,23.329,11.884,simple,3
z=(A+Bx+Cy)/(1+Dx+Ey+Fy^2),z=(17.44-71.278x+2.0543y)/(1-0.84979x-0.59526y+0.1188y^2),6,0.38731,0.34778,11.171,23.235,9.7984,simple,3
z=A+Bx+Cy+Dx^2+Ey^2+Fxy+Gx^3+Hy^3+Ixy^2+Jx^2y,z=30047-36413x-32764y+73811x^2+12554y^2+14048xy+9473x^3-1692.4y^3+156.46xy^2-30220x^2y,10,0.38693,0.31805,11.423,25.005,5.6171,simple,3
z=A+Bx+Cy+Dx^2+Ey^2+Fxy+Gx^3+Hy^3+Ixy^2+Jx^2y,z=30047-36413x-32764y+73811x^2+12554y^2+14048xy+9473x^3-1692.4y^3+156.46xy^2-30220x^2y,10,0.38693,0.31805,11.423,25.005,5.6171,simple,3
z=A+Bx+C/y+Dx^2+E/y^2+Fx/y,z=361.54-4249.7x+1319.3/y+6339.6x^2-3249.3/y^2+4092.5x/y,6,0.38677,0.34721,11.176,23.456,9.776,simple,3
z=A+Bx+C/y+Dx^2+E/y^2+Fx/y,z=361.54-4249.7x+1319.3/y+6339.6x^2-3249.3/y^2+4092.5x/y,6,0.38677,0.34721,11.176,23.456,9.776,simple,3
z=(A+Bx+Cx^2+Dy+Ey^2)/(1+Fx+Gy+Hy^2+Iy^3),z=(55.584-2.1142x+7.7727x^2-43.196y+8.4077y^2)/(1+0.01093x-0.96679y+0.29707y^2-0.028259y^3),9,0.3863,0.32493,11.365,29.696,6.2945,simple,3
z=(A+Bx+Cx^2+Dy+Ey^2)/(1+Fx+Gy+Hy^2+Iy^3),z=(55.584-2.1142x+7.7727x^2-43.196y+8.4077y^2)/(1+0.01093x-0.96679y+0.29707y^2-0.028259y^3),9,0.3863,0.32493,11.365,29.696,6.2945,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+Ey,z=-2060-4625.7lnx-3387.9(lnx)^2-807.51(lnx)^3+47.64y,5,0.38421,0.35145,11.14,24.653,11.73,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+Ey,z=-2060-4625.7lnx-3387.9(lnx)^2-807.51(lnx)^3+47.64y,5,0.38421,0.35145,11.14,24.653,11.73,simple,3
z=(A+Bx+Clny)/(1+Dx+Elny+F(lny)^2),z=(20.991-73.795x+3.0986lny)/(1-0.89505x-1.5656lny+0.84059(lny)^2),6,0.38316,0.34336,11.209,23.079,9.628,simple,3
z=(A+Bx+Clny)/(1+Dx+Elny+F(lny)^2),z=(20.991-73.795x+3.0986lny)/(1-0.89505x-1.5656lny+0.84059(lny)^2),6,0.38316,0.34336,11.209,23.079,9.628,simple,3
z=A+B/x+C/x^2+D/x^3+Ey,z=18.368+72.926/x-33.652/x^2+3.493/x^3+46.733y,5,0.38259,0.34975,11.154,24.383,11.65,simple,3
